date,min,max,median,q1,q3,stdev,count
2020-08-14T00:00:00.000Z,1.95,7.72,3.75,3.05,4.43,1.031,399
2020-08-15T00:00:00.000Z,2.2,5.78,4.07,2.92,4.62,0.911,469
2020-08-16T00:00:00.000Z,0.5,12.15,1.7,0.9,4.97,2.309,459
2020-08-17T00:00:00.000Z,0.52,6.55,2.27,1.3,3,1.089,455
2020-08-18T00:00:00.000Z,1.9,7.25,3.5,2.75,3.97,0.969,437
2020-08-19T00:00:00.000Z,1.52,9.98,2.85,2.4,3.7,1.605,443
2020-08-20T00:00:00.000Z,1.23,8.32,2.17,1.95,2.5,0.664,453
2020-08-21T00:00:00.000Z,1.8,8.73,3.4,2.83,4.57,1.646,447
2020-08-22T00:00:00.000Z,1.1,13.95,2.95,1.67,3.75,1.379,392
2020-08-23T00:00:00.000Z,0.95,3.78,1.47,1.25,1.9,0.486,386
2020-08-24T00:00:00.000Z,0.3,2.85,0.7,0.55,1.8,0.703,345
2020-08-25T00:00:00.000Z,0.3,1.85,0.6,0.5,0.7,0.16,374
2020-08-26T00:00:00.000Z,0.2,3.05,0.55,0.45,0.69,0.294,393
2020-08-27T00:00:00.000Z,0.2,1.17,0.5,0.4,0.6,0.137,448
2020-08-28T00:00:00.000Z,0.2,1.85,0.62,0.5,0.77,0.213,408
2020-08-29T00:00:00.000Z,0.43,2.42,1.1,0.8,1.37,0.374,406
2020-08-30T00:00:00.000Z,0.55,3.08,1.2,0.9,1.5,0.499,405
2020-08-31T00:00:00.000Z,0.2,2.65,0.7,0.4,1.17,0.56,384
2020-09-01T00:00:00.000Z,0.35,2.62,1.12,0.7,1.87,0.602,335
2020-09-02T00:00:00.000Z,0.45,3.95,1.92,1.62,2.29,0.626,453
2020-09-03T00:00:00.000Z,1.83,11.77,4.32,3.72,5.65,1.396,458
2020-09-04T00:00:00.000Z,0.9,24.77,2,1.42,3,2.921,481
2020-09-05T00:00:00.000Z,0.5,10.45,1.5,1.1,2,0.683,476
2020-09-06T00:00:00.000Z,0.2,3.8,0.9,0.7,1.25,0.447,468
